pruid,prname,prnameFR,date,update,numconf,numprob,numdeaths,numtotal,numtested,numtests,numrecover,percentrecover,ratetested,ratetests,numtoday,percentoday,ratetotal,ratedeaths,numdeathstoday,percentdeath,numtestedtoday,numteststoday,numrecoveredtoday,percentactive,numactive,rateactive,numtotal_last14,ratetotal_last14,numdeaths_last14,ratedeaths_last14,numtotal_last7,ratetotal_last7,numdeaths_last7,ratedeaths_last7,avgtotal_last7,avgincidence_last7,avgdeaths_last7,avgratedeaths_last7,raterecovered
60,Yukon,Yukon,2020-04-08,,7,0,0,7,794,720,,,18881,17122,0,0.00,16.65,0.00,0,0.00,7,26,,100.00,7,16.65,4,9.51,0,0.00,2,4.76,0,0.00,0,0.68,0,0.00,0.00
61,Northwest Territories,Territoires du Nord-Ouest,2020-04-08,,5,0,0,5,1251,1245,,,27701,27568,0,0.00,11.07,0.00,0,0.00,21,13,,100.00,5,11.07,4,8.86,0,0.00,3,6.64,0,0.00,0,0.95,0,0.00,0.00
62,Nunavut,Nunavut,2020-04-08,,0,0,0,0,240,187,,,6099,4752,0,0.00,0.00,0.00,0,,6,10,,,,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
99,Repatriated travellers,Voyageurs rapatriés,2020-04-08,,13,0,0,13,76,48,,,,,0,0.00,,,0,0.00,0,0,,100.00,13,,0,,0,,0,,0,,0,,0,,
1,Canada,Canada,2020-04-08,,19274,15,435,19289,362045,278552,,,9526,7329,1392,7.78,50.75,1.14,55,2.26,19999,8727,,97.74,18854,49.61,15880,41.78,400,1.05,9676,25.46,326,0.86,1382,3.64,47,0.12,0.00
59,British Columbia,Colombie-Britannique,2020-04-09,,1370,0,50,1370,45156,50272,858,62.63,8772,9766,34,2.54,26.61,0.97,2,3.65,887,1124,20,33.72,462,8.97,645,12.53,36,0.70,249,4.84,19,0.37,36,0.69,3,0.05,0.39
48,Alberta,Alberta,2020-04-09,,1451,0,32,1451,68116,67397,,,15404,15242,28,1.97,32.81,0.72,3,2.21,1333,1705,,97.79,1419,32.09,965,21.82,30,0.68,483,10.92,19,0.43,69,1.56,3,0.06,0.00
47,Saskatchewan,Saskatchewan,2020-04-09,,278,0,3,278,16059,14705,,,13625,12476,7,2.58,23.59,0.25,0,1.08,1000,899,,98.92,275,23.33,183,15.53,3,0.25,72,6.11,0,0.00,10,0.87,0,0.00,0.00
46,Manitoba,Manitoba,2020-04-09,,207,17,3,224,14569,14502,,,10563,10514,3,1.36,16.24,0.22,0,1.34,0,477,,98.66,221,16.02,188,13.63,3,0.22,57,4.13,2,0.15,8,0.59,0,0.02,0.00
35,Ontario,Ontario,2020-04-09,,5759,0,200,5759,89906,0,,,6102,,483,9.15,39.09,1.36,26,3.47,4203,0,,96.53,5559,37.73,4901,33.26,185,1.26,2966,20.13,147,1.00,424,2.88,21,0.14,0.00
24,Quebec,Québec,2020-04-09,,10912,0,216,10912,113365,114820,,,13221,13391,881,8.78,127.26,2.52,41,1.98,4095,5118,,98.02,10696,124.74,9283,108.26,208,2.43,5394,62.91,180,2.10,771,8.99,26,0.30,0.00
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-04-09,,236,0,3,236,4384,5767,,,8397,11046,4,1.72,45.20,0.57,1,1.27,249,283,,98.73,233,44.63,154,29.50,3,0.57,53,10.15,2,0.38,8,1.45,0,0.05,0.00
